category,CE_NONLOW_AGED,CE_NONLOW_NONAGED,CE_LOW_AGED,CE_LOW_NONAGED,CE_LTI,NE_NONLOW_COMMUNITY,NE_LOW_COMMUNITY,NE_LTI
NESRD_NORIGDIS_X_M66,0.0,0.0,0.0,0.0,0.0,0.486,0.775,1.952
NESRD_NORIGDIS_X_M67,0.0,0.0,0.0,0.0,0.0,0.51,0.743,1.952
NESRD_NORIGDIS_X_M68,0.0,0.0,0.0,0.0,0.0,0.522,0.705,1.74
NESRD_NORIGDIS_X_M69,0.0,0.0,0.0,0.0,0.0,0.522,0.667,1.74
NESRD_NORIGDIS_X_M70_74,0.0,0.0,0.0,0.0,0.0,0.596,0.627,1.74
NESRD_NORIGDIS_X_M75_79,0.0,0.0,0.0,0.0,0.0,0.668,0.639,1.341
NESRD_NORIGDIS_X_M80_84,0.0,0.0,0.0,0.0,0.0,0.668,0.639,1.341
NESRD_NORIGDIS_X_M85_89,0.0,0.0,0.0,0.0,0.0,0.668,0.639,1.019
NESRD_NORIGDIS_X_M90_94,0.0,0.0,0.0,0.0,0.0,0.368,0.333,0.712
NESRD_NORIGDIS_X_M95_GT,0.0,0.0,0.0,0.0,0.0,0.368,0.333,0.712
NESRD_NORIGDIS_X_F0_34,0.0,0.0,0.0,0.0,0.0,1.447,1.761,4.051
NESRD_NORIGDIS_X_F35_44,0.0,0.0,0.0,0.0,0.0,1.447,2.516,3.705
NESRD_NORIGDIS_X_F45_54,0.0,0.0,0.0,0.0,0.0,1.255,2.498,3.569
NESRD_NORIGDIS_X_F55_59,0.0,0.0,0.0,0.0,0.0,1.255,2.05,2.868
NESRD_NORIGDIS_X_F60_64,0.0,0.0,0.0,0.0,0.0,1.255,1.963,2.824
NESRD_NORIGDIS_X_F65,0.0,0.0,0.0,0.0,0.0,0.381,1.119,2.824
NESRD_NORIGDIS_X_F66,0.0,0.0,0.0,0.0,0.0,0.409,0.79,2.427
NESRD_NORIGDIS_X_F67,0.0,0.0,0.0,0.0,0.0,0.42,0.708,2.427
NESRD_NORIGDIS_X_F68,0.0,0.0,0.0,0.0,0.0,0.441,0.708,1.726
NESRD_NORIGDIS_X_F69,0.0,0.0,0.0,0.0,0.0,0.473,0.731,1.726
NESRD_NORIGDIS_X_F70_74,0.0,0.0,0.0,0.0,0.0,0.496,0.765,1.614
NESRD_NORIGDIS_X_F75_79,0.0,0.0,0.0,0.0,0.0,0.557,0.688,1.614
NESRD_NORIGDIS_X_F80_84,0.0,0.0,0.0,0.0,0.0,0.521,0.688,1.055
NESRD_NORIGDIS_X_F85_89,0.0,0.0,0.0,0.0,0.0,0.521,0.688,1.055
NESRD_NORIGDIS_X_F90_94,0.0,0.0,0.0,0.0,0.0,0.396,0.424,0.658
NESRD_NORIGDIS_X_F95_GT,0.0,0.0,0.0,0.0,0.0,0.396,0.424,0.658
ESRD_NORIGDIS_X_M0_34,0.0,0.0,0.0,0.0,0.0,1.139,2.202,2.358
ESRD_NORIGDIS_X_M35_44,0.0,0.0,0.0,0.0,0.0,1.139,1.979,2.358
ESRD_NORIGDIS_X_M45_54,0.0,0.0,0.0,0.0,0.0,1.177,1.964,2.358
ESRD_NORIGDIS_X_M55_59,0.0,0.0,0.0,0.0,0.0,1.177,1.964,2.358
ESRD_NORIGDIS_X_M60_64,0.0,0.0,0.0,0.0,0.0,1.177,2.082,2.358
ESRD_NORIGDIS_X_M65,0.0,0.0,0.0,0.0,0.0,1.542,2.226,2.358
ESRD_NORIGDIS_X_M66,0.0,0.0,0.0,0.0,0.0,1.542,2.226,2.358
ESRD_NORIGDIS_X_M67,0.0,0.0,0.0,0.0,0.0,1.542,2.226,2.358
ESRD_NORIGDIS_X_M68,0.0,0.0,0.0,0.0,0.0,1.542,2.226,2.358
