category,DIAL,GRAFT_COMM_ND_PBD_GE65,GRAFT_COMM_ND_PBD_LT65,GRAFT_COMM_FBD_GE65,GRAFT_COMM_FBD_LT65,GRAFT_INST,NE_DIAL_ND_PBD_NORIGDIS,NE_DIAL_FBD_NORIGDIS,NE_DIAL_ND_PBD_ORIGDIS,NE_DIAL_FBD_ORIGDIS,NE_GRAFT_ND_PBD_NORIGDIS,NE_GRAFT_FBD_NORIGDIS,NE_GRAFT_ND_PBD_ORIGDIS,NE_GRAFT_FBD_ORIGDIS
HCC111,0.058,0.291,0.187,0.344,0.256,0.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC112,0.058,0.201,0.187,0.147,0.256,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC114,0.09,0.486,0.428,0.582,0.344,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC115,0.03,0.205,0.154,0.248,0.207,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC122,0.006,0.321,0.333,0.357,0.363,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC124,0.057,0.601,0.379,0.383,0.27,0.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC157,0.219,1.833,1.97,2.333,2.366,1.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC158,0.158,1.038,1.076,1.266,1.141,0.243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC159,0.127,0.795,0.946,0.94,0.894,0.243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC161,0.127,0.582,0.65,0.782,0.65,0.243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC162,0.155,0.503,0.142,1.053,0.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC166,0.076,0.542,0.277,1.053,0.289,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC167,0.043,0.162,0.1,0.239,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC169,0.099,0.475,0.456,0.523,0.431,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC170,0.063,0.358,0.407,0.425,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC173,0.05,0.16,0.082,0.341,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC176,0.0,0.61,0.9,0.735,1.017,0.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC186,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC188,0.087,0.558,0.772,0.728,0.786,0.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC189,0.081,0.52,0.525,0.729,0.831,0.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC47_gCancer,0.048,0.78,0.654,0.841,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIABETES_CHF,0.0,0.132,0.112,0.223,0.159,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF_gCopdCF,0.003,0.134,0.154,0.166,0.209,0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gCopdCF_CARD_RESP_FAIL,0.029,0.333,0.326,0.43,0.432,0.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC85_HCC96,0.05,0.109,0.308,0.194,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gSubUseDs_gPsych_V24,0.0,0.0,0.122,0.0,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEPSIS_PRESSURE_ULCER_V24,0.0,0.0,0.0,0.0,0.0,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEPSIS_ARTIF_OPENINGS,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART_OPENINGS_PRESSURE_ULCER_V24,0.0,0.0,0.0,0.0,0.0,0.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gCopdCF_ASP_SPEC_B_PNEUM,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASP_SPEC_B_PNEUM_PRES_ULC_V24,0.0,0.0,0.0,0.0,0.0,0.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEPSIS_ASP_SPEC_BACT_PNEUM,0.0,0.0,0.0,0.0,0.0,0.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHIZOPHRENIA_gCopdCF,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHIZOPHRENIA_CHF,0.0,0.0,0.0,0.0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHIZOPHRENIA_SEIZURES,0.0,0.0,0.0,0.0,0.0,0.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_gSubUseDs_gPsych,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_HCC6,0.043,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_HCC34,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
