category,CE_NONLOW_AGED,CE_NONLOW_NONAGED,CE_LOW_AGED,CE_LOW_NONAGED,CE_LTI,NE_NONLOW_COMMUNITY,NE_LOW_COMMUNITY,NE_LTI
NONAGED_RXHCC133,0.0,0.0,0.0,0.0,0.275,0.0,0.0,0.0
NONAGED_RXHCC159,0.0,0.0,0.0,0.0,1.982,0.0,0.0,0.0
NONAGED_RXHCC163,0.0,0.0,0.0,0.0,0.285,0.0,0.0,0.0
NESRD_NORIGDIS_X_M0_34,0.0,0.0,0.0,0.0,0.0,1.262,1.99,2.667
NESRD_NORIGDIS_X_M35_44,0.0,0.0,0.0,0.0,0.0,1.262,1.99,2.667
NESRD_NORIGDIS_X_M45_54,0.0,0.0,0.0,0.0,0.0,1.4,1.99,2.391
NESRD_NORIGDIS_X_M55_59,0.0,0.0,0.0,0.0,0.0,1.4,1.99,2.087
NESRD_NORIGDIS_X_M60_64,0.0,0.0,0.0,0.0,0.0,1.4,1.99,2.087
NESRD_NORIGDIS_X_M65,0.0,0.0,0.0,0.0,0.0,0.531,1.122,2.087
NESRD_NORIGDIS_X_M66,0.0,0.0,0.0,0.0,0.0,0.575,0.83,2.087
NESRD_NORIGDIS_X_M67,0.0,0.0,0.0,0.0,0.0,0.588,0.803,1.805
NESRD_NORIGDIS_X_M68,0.0,0.0,0.0,0.0,0.0,0.669,0.803,1.805
NESRD_NORIGDIS_X_M69,0.0,0.0,0.0,0.0,0.0,0.669,0.724,1.501
NESRD_NORIGDIS_X_M70_74,0.0,0.0,0.0,0.0,0.0,0.669,0.657,1.501
NESRD_NORIGDIS_X_M75_79,0.0,0.0,0.0,0.0,0.0,0.804,0.657,1.315
NESRD_NORIGDIS_X_M80_84,0.0,0.0,0.0,0.0,0.0,0.804,0.591,1.315
NESRD_NORIGDIS_X_M85_89,0.0,0.0,0.0,0.0,0.0,0.762,0.591,1.315
NESRD_NORIGDIS_X_M90_94,0.0,0.0,0.0,0.0,0.0,0.762,0.466,0.834
NESRD_NORIGDIS_X_M95_GT,0.0,0.0,0.0,0.0,0.0,0.762,0.466,0.527
NESRD_NORIGDIS_X_F0_34,0.0,0.0,0.0,0.0,0.0,1.968,2.789,3.356
NESRD_NORIGDIS_X_F35_44,0.0,0.0,0.0,0.0,0.0,1.968,2.789,3.356
NESRD_NORIGDIS_X_F45_54,0.0,0.0,0.0,0.0,0.0,1.556,2.789,3.356
NESRD_NORIGDIS_X_F55_59,0.0,0.0,0.0,0.0,0.0,1.556,2.452,2.961
NESRD_NORIGDIS_X_F60_64,0.0,0.0,0.0,0.0,0.0,1.556,2.452,2.637
NESRD_NORIGDIS_X_F65,0.0,0.0,0.0,0.0,0.0,0.425,1.205,2.637
NESRD_NORIGDIS_X_F66,0.0,0.0,0.0,0.0,0.0,0.445,0.895,2.637
NESRD_NORIGDIS_X_F67,0.0,0.0,0.0,0.0,0.0,0.466,0.828,1.982
NESRD_NORIGDIS_X_F68,0.0,0.0,0.0,0.0,0.0,0.501,0.783,1.982
NESRD_NORIGDIS_X_F69,0.0,0.0,0.0,0.0,0.0,0.503,0.739,1.724
NESRD_NORIGDIS_X_F70_74,0.0,0.0,0.0,0.0,0.0,0.536,0.721,1.724
NESRD_NORIGDIS_X_F75_79,0.0,0.0,0.0,0.0,0.0,0.625,0.721,1.724
NESRD_NORIGDIS_X_F80_84,0.0,0.0,0.0,0.0,0.0,0.59,0.664,1.059
NESRD_NORIGDIS_X_F85_89,0.0,0.0,0.0,0.0,0.0,0.59,0.664,1.059
NESRD_NORIGDIS_X_F90_94,0.0,0.0,0.0,0.0,0.0,0.187,0.377,0.591
NESRD_NORIGDIS_X_F95_GT,0.0,0.0,0.0,0.0,0.0,0.187,0.377,0.591
ESRD_NORIGDIS_X_M0_34,0.0,0.0,0.0,0.0,0.0,1.262,1.99,2.279
ESRD_NORIGDIS_X_M35_44,0.0,0.0,0.0,0.0,0.0,1.262,1.99,2.279
ESRD_NORIGDIS_X_M45_54,0.0,0.0,0.0,0.0,0.0,1.4,1.99,2.279
ESRD_NORIGDIS_X_M55_59,0.0,0.0,0.0,0.0,0.0,1.4,1.99,2.279
ESRD_NORIGDIS_X_M60_64,0.0,0.0,0.0,0.0,0.0,1.4,1.99,2.279
ESRD_NORIGDIS_X_M65,0.0,0.0,0.0,0.0,0.0,1.226,1.954,2.279
ESRD_NORIGDIS_X_M66,0.0,0.0,0.0,0.0,0.0,1.226,1.954,2.279
ESRD_NORIGDIS_X_M67,0.0,0.0,0.0,0.0,0.0,1.226,1.954,2.279
ESRD_NORIGDIS_X_M68,0.0,0.0,0.0,0.0,0.0,1.226,1.954,2.279
ESRD_NORIGDIS_X_M69,0.0,0.0,0.0,0.0,0.0,1.226,1.954,2.279
ESRD_NORIGDIS_X_M70_74,0.0,0.0,0.0,0.0,0.0,1.226,1.954,2.279
ESRD_NORIGDIS_X_M75_79,0.0,0.0,0.0,0.0,0.0,1.226,1.954,2.279
ESRD_NORIGDIS_X_M80_84,0.0,0.0,0.0,0.0,0.0,1.226,1.954,2.279
ESRD_NORIGDIS_X_M85_89,0.0,0.0,0.0,0.0,0.0,1.226,1.954,2.279
ESRD_NORIGDIS_X_M90_94,0.0,0.0,0.0,0.0,0.0,1.226,1.954,2.279
ESRD_NORIGDIS_X_M95_GT,0.0,0.0,0.0,0.0,0.0,1.226,1.954,2.279
ESRD_NORIGDIS_X_F0_34,0.0,0.0,0.0,0.0,0.0,1.968,2.789,2.649
ESRD_NORIGDIS_X_F35_44,0.0,0.0,0.0,0.0,0.0,1.968,2.789,2.649
ESRD_NORIGDIS_X_F45_54,0.0,0.0,0.0,0.0,0.0,1.556,2.789,2.649
ESRD_NORIGDIS_X_F55_59,0.0,0.0,0.0,0.0,0.0,1.556,2.452,2.649
ESRD_NORIGDIS_X_F60_64,0.0,0.0,0.0,0.0,0.0,1.556,2.452,2.649
ESRD_NORIGDIS_X_F65,0.0,0.0,0.0,0.0,0.0,1.133,1.935,2.649
ESRD_NORIGDIS_X_F66,0.0,0.0,0.0,0.0,0.0,1.133,1.935,2.649
ESRD_NORIGDIS_X_F67,0.0,0.0,0.0,0.0,0.0,1.133,1.935,2.649
ESRD_NORIGDIS_X_F68,0.0,0.0,0.0,0.0,0.0,1.133,1.935,2.649
ESRD_NORIGDIS_X_F69,0.0,0.0,0.0,0.0,0.0,1.133,1.935,2.649
ESRD_NORIGDIS_X_F70_74,0.0,0.0,0.0,0.0,0.0,1.133,1.935,2.649
ESRD_NORIGDIS_X_F75_79,0.0,0.0,0.0,0.0,0.0,1.133,1.935,2.649
ESRD_NORIGDIS_X_F80_84,0.0,0.0,0.0,0.0,0.0,1.133,1.935,2.649
ESRD_NORIGDIS_X_F85_89,0.0,0.0,0.0,0.0,0.0,1.133,1.935,2.649
ESRD_NORIGDIS_X_F90_94,0.0,0.0,0.0,0.0,0.0,1.133,1.935,2.649
ESRD_NORIGDIS_X_F95_GT,0.0,0.0,0.0,0.0,0.0,1.133,1.935,2.649
NESRD_ORIGDIS_X_M65,0.0,0.0,0.0,0.0,0.0,1.269,1.575,2.087
NESRD_ORIGDIS_X_M66,0.0,0.0,0.0,0.0,0.0,1.269,1.575,2.087
NESRD_ORIGDIS_X_M67,0.0,0.0,0.0,0.0,0.0,1.229,0.868,1.805
NESRD_ORIGDIS_X_M68,0.0,0.0,0.0,0.0,0.0,1.115,0.868,1.805
NESRD_ORIGDIS_X_M69,0.0,0.0,0.0,0.0,0.0,0.913,0.754,1.501
NESRD_ORIGDIS_X_M70_74,0.0,0.0,0.0,0.0,0.0,0.913,0.657,1.501
NESRD_ORIGDIS_X_M75_79,0.0,0.0,0.0,0.0,0.0,0.804,0.657,1.315
NESRD_ORIGDIS_X_M80_84,0.0,0.0,0.0,0.0,0.0,0.804,0.591,1.315
NESRD_ORIGDIS_X_M85_89,0.0,0.0,0.0,0.0,0.0,0.762,0.591,1.315
NESRD_ORIGDIS_X_M90_94,0.0,0.0,0.0,0.0,0.0,0.762,0.466,0.834
NESRD_ORIGDIS_X_M95_GT,0.0,0.0,0.0,0.0,0.0,0.762,0.466,0.527
NESRD_ORIGDIS_X_F65,0.0,0.0,0.0,0.0,0.0,1.149,2.112,2.637
NESRD_ORIGDIS_X_F66,0.0,0.0,0.0,0.0,0.0,1.136,1.581,2.637
NESRD_ORIGDIS_X_F67,0.0,0.0,0.0,0.0,0.0,1.136,1.195,1.982
NESRD_ORIGDIS_X_F68,0.0,0.0,0.0,0.0,0.0,1.136,0.827,1.982
NESRD_ORIGDIS_X_F69,0.0,0.0,0.0,0.0,0.0,1.051,0.827,1.724
NESRD_ORIGDIS_X_F70_74,0.0,0.0,0.0,0.0,0.0,1.051,0.827,1.724
NESRD_ORIGDIS_X_F75_79,0.0,0.0,0.0,0.0,0.0,1.051,0.71,1.724
NESRD_ORIGDIS_X_F80_84,0.0,0.0,0.0,0.0,0.0,0.59,0.664,1.059
NESRD_ORIGDIS_X_F85_89,0.0,0.0,0.0,0.0,0.0,0.59,0.664,1.059
NESRD_ORIGDIS_X_F90_94,0.0,0.0,0.0,0.0,0.0,0.187,0.377,0.591
NESRD_ORIGDIS_X_F95_GT,0.0,0.0,0.0,0.0,0.0,0.187,0.377,0.591
ESRD_ORIGDIS_X_M65,0.0,0.0,0.0,0.0,0.0,1.226,1.954,2.279
ESRD_ORIGDIS_X_M66,0.0,0.0,0.0,0.0,0.0,1.226,1.954,2.279
ESRD_ORIGDIS_X_M67,0.0,0.0,0.0,0.0,0.0,1.226,1.954,2.279
ESRD_ORIGDIS_X_M68,0.0,0.0,0.0,0.0,0.0,1.226,1.954,2.279
ESRD_ORIGDIS_X_M69,0.0,0.0,0.0,0.0,0.0,1.226,1.954,2.279
ESRD_ORIGDIS_X_M70_74,0.0,0.0,0.0,0.0,0.0,1.226,1.954,2.279
ESRD_ORIGDIS_X_M75_79,0.0,0.0,0.0,0.0,0.0,1.226,1.954,2.279
ESRD_ORIGDIS_X_M80_84,0.0,0.0,0.0,0.0,0.0,1.226,1.954,2.279
ESRD_ORIGDIS_X_M85_89,0.0,0.0,0.0,0.0,0.0,1.226,1.954,2.279
ESRD_ORIGDIS_X_M90_94,0.0,0.0,0.0,0.0,0.0,1.226,1.954,2.279
ESRD_ORIGDIS_X_M95_GT,0.0,0.0,0.0,0.0,0.0,1.226,1.954,2.279
ESRD_ORIGDIS_X_F65,0.0,0.0,0.0,0.0,0.0,1.133,1.935,2.649
