category,DIAL,GRAFT_COMM,GRAFT_INST,NE_DIAL_NMCAID_NORIGDIS,NE_DIAL_MCAID_NORIGDIS,NE_DIAL_NMCAID_ORIGDIS,NE_DIAL_MCAID_ORIGDIS,NE_GRAFT_NMCAID_NORIGDIS,NE_GRAFT_MCAID_NORIGDIS,NE_GRAFT_NMCAID_ORIGDIS,NE_GRAFT_MCAID_ORIGDIS
CANCER_IMMUNE,0.025,0.773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIABETES_CHF,0.0,0.16,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF_COPD,0.022,0.227,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHF_RENAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COPD_CARD_RESP_FAIL,0.024,0.453,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEPSIS_PRESSURE_ULCER,0.0,0.0,0.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEPSIS_ARTIF_OPENINGS,0.0,0.0,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART_OPENINGS_PRESSURE_ULCER,0.0,0.0,0.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COPD_ASP_SPEC_BACT_PNEUM,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASP_SPEC_BACT_PNEUM_PRES_ULC,0.0,0.0,0.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEPSIS_ASP_SPEC_BACT_PNEUM,0.0,0.0,0.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHIZOPHRENIA_COPD,0.0,0.0,0.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHIZOPHRENIA_CHF,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHIZOPHRENIA_SEIZURES,0.0,0.0,0.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_HCC6,0.073,0.561,0.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_HCC34,0.113,0.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_HCC46,0.157,2.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_HCC54,0.133,0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_HCC55,0.122,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_HCC110,0.298,2.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_HCC176,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_HCC85,0.0,0.0,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_PRESSURE_ULCER,0.0,0.0,0.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_HCC161,0.0,0.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_HCC39,0.0,0.0,0.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_HCC77,0.0,0.0,0.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEF0_34,0.0,0.0,0.0,0.793,1.066,1.12,1.328,0.804,0.969,0.0,0.0
NEF35_44,0.0,0.0,0.0,0.793,1.028,1.12,1.328,0.947,1.202,0.0,0.0
NEF45_54,0.0,0.0,0.0,0.877,1.029,1.12,1.368,1.015,1.305,0.0,0.0
NEF55_59,0.0,0.0,0.0,0.917,1.049,1.12,1.368,1.016,1.307,0.0,0.0
NEF60_64,0.0,0.0,0.0,0.975,1.112,1.181,1.387,1.133,1.408,0.0,0.0
NEF65_69,0.0,0.0,0.0,1.121,1.295,1.236,1.409,0.0,0.0,0.0,0.0
NEF70_74,0.0,0.0,0.0,1.191,1.397,1.331,1.444,0.69,0.985,1.284,2.003
NEF75_79,0.0,0.0,0.0,1.191,1.397,1.38,1.488,0.86,1.133,1.284,2.003
NEF80_84,0.0,0.0,0.0,1.221,1.397,1.38,1.488,1.014,1.352,1.284,2.003
NEF85_GT,0.0,0.0,0.0,1.164,1.454,1.38,1.488,0.0,0.0,0.0,0.0
NEM0_34,0.0,0.0,0.0,0.7,0.897,1.001,1.246,0.442,0.734,0.0,0.0
NEM35_44,0.0,0.0,0.0,0.7,0.922,1.001,1.246,0.657,1.059,0.0,0.0
NEM45_54,0.0,0.0,0.0,0.759,0.95,1.001,1.271,0.864,1.353,0.0,0.0
NEM55_59,0.0,0.0,0.0,0.865,1.015,1.033,1.292,0.903,1.418,0.0,0.0
NEM60_64,0.0,0.0,0.0,0.905,1.064,1.033,1.361,0.948,1.55,0.0,0.0
NEM65_69,0.0,0.0,0.0,1.025,1.249,1.033,1.361,0.0,0.0,0.0,0.0
NEM70_74,0.0,0.0,0.0,1.127,1.382,1.22,1.474,0.785,1.298,1.399,2.198
NEM75_79,0.0,0.0,0.0,1.181,1.382,1.253,1.474,1.059,1.407,1.399,2.198
NEM80_84,0.0,0.0,0.0,1.175,1.382,1.253,1.474,1.246,1.555,1.399,2.198
