category,CE_NONLOW_AGED,CE_NONLOW_NONAGED,CE_LOW_AGED,CE_LOW_NONAGED,CE_LTI,NE_NONLOW_COMMUNITY,NE_LOW_COMMUNITY,NE_LTI
RXHCC311,0.175,0.137,0.201,0.304,0.066,0.0,0.0,0.0
RXHCC314,0.315,0.828,0.518,0.727,0.33,0.0,0.0,0.0
RXHCC316,0.168,0.183,1.203,2.291,0.812,0.0,0.0,0.0
RXHCC317,0.114,0.236,0.041,0.0,0.0,0.0,0.0,0.0
RXHCC355,1.089,2.433,1.428,3.501,0.807,0.0,0.0,0.0
RXHCC395,4.447,2.35,6.133,3.958,2.413,0.0,0.0,0.0
RXHCC396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_RXHCC1,0.0,0.0,0.0,0.0,2.755,0.0,0.0,0.0
NONAGED_RXHCC130,0.0,0.0,0.0,0.0,0.749,0.0,0.0,0.0
NONAGED_RXHCC131,0.0,0.0,0.0,0.0,0.749,0.0,0.0,0.0
NONAGED_RXHCC132,0.0,0.0,0.0,0.0,0.358,0.0,0.0,0.0
NONAGED_RXHCC133,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0
NONAGED_RXHCC159,0.0,0.0,0.0,0.0,3.441,0.0,0.0,0.0
NONAGED_RXHCC163,0.0,0.0,0.0,0.0,0.705,0.0,0.0,0.0
NESRD_NORIGDIS_X_M0_34,0.0,0.0,0.0,0.0,0.0,1.142,1.839,3.3
NESRD_NORIGDIS_X_M35_44,0.0,0.0,0.0,0.0,0.0,1.142,1.839,3.3
NESRD_NORIGDIS_X_M45_54,0.0,0.0,0.0,0.0,0.0,1.181,1.839,2.868
NESRD_NORIGDIS_X_M55_59,0.0,0.0,0.0,0.0,0.0,1.181,1.801,2.728
NESRD_NORIGDIS_X_M60_64,0.0,0.0,0.0,0.0,0.0,1.181,1.631,2.365
NESRD_NORIGDIS_X_M65,0.0,0.0,0.0,0.0,0.0,0.467,1.122,2.365
NESRD_NORIGDIS_X_M66,0.0,0.0,0.0,0.0,0.0,0.488,0.762,2.365
NESRD_NORIGDIS_X_M67,0.0,0.0,0.0,0.0,0.0,0.526,0.762,1.67
NESRD_NORIGDIS_X_M68,0.0,0.0,0.0,0.0,0.0,0.526,0.705,1.67
NESRD_NORIGDIS_X_M69,0.0,0.0,0.0,0.0,0.0,0.526,0.666,1.668
NESRD_NORIGDIS_X_M70_74,0.0,0.0,0.0,0.0,0.0,0.619,0.65,1.668
NESRD_NORIGDIS_X_M75_79,0.0,0.0,0.0,0.0,0.0,0.619,0.65,1.668
NESRD_NORIGDIS_X_M80_84,0.0,0.0,0.0,0.0,0.0,0.619,0.589,1.046
NESRD_NORIGDIS_X_M85_89,0.0,0.0,0.0,0.0,0.0,0.708,0.589,1.046
NESRD_NORIGDIS_X_M90_94,0.0,0.0,0.0,0.0,0.0,0.708,0.334,0.74
NESRD_NORIGDIS_X_M95_GT,0.0,0.0,0.0,0.0,0.0,0.708,0.334,0.605
NESRD_NORIGDIS_X_F0_34,0.0,0.0,0.0,0.0,0.0,1.444,2.271,3.655
NESRD_NORIGDIS_X_F35_44,0.0,0.0,0.0,0.0,0.0,1.444,2.271,3.655
NESRD_NORIGDIS_X_F45_54,0.0,0.0,0.0,0.0,0.0,1.26,2.271,3.655
NESRD_NORIGDIS_X_F55_59,0.0,0.0,0.0,0.0,0.0,1.26,2.014,2.855
NESRD_NORIGDIS_X_F60_64,0.0,0.0,0.0,0.0,0.0,1.26,2.014,2.791
NESRD_NORIGDIS_X_F65,0.0,0.0,0.0,0.0,0.0,0.383,1.119,2.791
NESRD_NORIGDIS_X_F66,0.0,0.0,0.0,0.0,0.0,0.411,0.791,2.791
NESRD_NORIGDIS_X_F67,0.0,0.0,0.0,0.0,0.0,0.422,0.709,2.338
NESRD_NORIGDIS_X_F68,0.0,0.0,0.0,0.0,0.0,0.443,0.705,2.338
NESRD_NORIGDIS_X_F69,0.0,0.0,0.0,0.0,0.0,0.475,0.758,1.609
NESRD_NORIGDIS_X_F70_74,0.0,0.0,0.0,0.0,0.0,0.498,0.758,1.609
NESRD_NORIGDIS_X_F75_79,0.0,0.0,0.0,0.0,0.0,0.559,0.687,1.609
NESRD_NORIGDIS_X_F80_84,0.0,0.0,0.0,0.0,0.0,0.522,0.687,1.054
NESRD_NORIGDIS_X_F85_89,0.0,0.0,0.0,0.0,0.0,0.522,0.687,1.054
NESRD_NORIGDIS_X_F90_94,0.0,0.0,0.0,0.0,0.0,0.397,0.423,0.658
NESRD_NORIGDIS_X_F95_GT,0.0,0.0,0.0,0.0,0.0,0.397,0.423,0.658
ESRD_NORIGDIS_X_M0_34,0.0,0.0,0.0,0.0,0.0,1.142,1.839,2.349
ESRD_NORIGDIS_X_M35_44,0.0,0.0,0.0,0.0,0.0,1.142,1.839,2.349
ESRD_NORIGDIS_X_M45_54,0.0,0.0,0.0,0.0,0.0,1.181,1.839,2.349
ESRD_NORIGDIS_X_M55_59,0.0,0.0,0.0,0.0,0.0,1.181,1.956,2.349
ESRD_NORIGDIS_X_M60_64,0.0,0.0,0.0,0.0,0.0,1.181,2.068,2.349
ESRD_NORIGDIS_X_M65,0.0,0.0,0.0,0.0,0.0,1.547,2.215,2.349
ESRD_NORIGDIS_X_M66,0.0,0.0,0.0,0.0,0.0,1.547,2.215,2.349
ESRD_NORIGDIS_X_M67,0.0,0.0,0.0,0.0,0.0,1.547,2.215,2.349
ESRD_NORIGDIS_X_M68,0.0,0.0,0.0,0.0,0.0,1.547,2.215,2.349
ESRD_NORIGDIS_X_M69,0.0,0.0,0.0,0.0,0.0,1.547,2.215,2.349
ESRD_NORIGDIS_X_M70_74,0.0,0.0,0.0,0.0,0.0,1.547,2.215,2.349
ESRD_NORIGDIS_X_M75_79,0.0,0.0,0.0,0.0,0.0,1.547,2.215,2.349
ESRD_NORIGDIS_X_M80_84,0.0,0.0,0.0,0.0,0.0,1.547,2.215,2.349
ESRD_NORIGDIS_X_M85_89,0.0,0.0,0.0,0.0,0.0,1.547,2.215,2.349
ESRD_NORIGDIS_X_M90_94,0.0,0.0,0.0,0.0,0.0,1.547,2.215,2.349
ESRD_NORIGDIS_X_M95_GT,0.0,0.0,0.0,0.0,0.0,1.547,2.215,2.349
ESRD_NORIGDIS_X_F0_34,0.0,0.0,0.0,0.0,0.0,1.444,2.271,2.538
ESRD_NORIGDIS_X_F35_44,0.0,0.0,0.0,0.0,0.0,1.444,2.271,2.538
ESRD_NORIGDIS_X_F45_54,0.0,0.0,0.0,0.0,0.0,1.26,2.271,2.538
ESRD_NORIGDIS_X_F55_59,0.0,0.0,0.0,0.0,0.0,1.26,2.014,2.538
ESRD_NORIGDIS_X_F60_64,0.0,0.0,0.0,0.0,0.0,1.26,2.014,2.538
ESRD_NORIGDIS_X_F65,0.0,0.0,0.0,0.0,0.0,1.303,2.131,2.538
ESRD_NORIGDIS_X_F66,0.0,0.0,0.0,0.0,0.0,1.303,2.131,2.538
ESRD_NORIGDIS_X_F67,0.0,0.0,0.0,0.0,0.0,1.303,2.131,2.538
ESRD_NORIGDIS_X_F68,0.0,0.0,0.0,0.0,0.0,1.303,2.131,2.538
ESRD_NORIGDIS_X_F69,0.0,0.0,0.0,0.0,0.0,1.303,2.131,2.538
ESRD_NORIGDIS_X_F70_74,0.0,0.0,0.0,0.0,0.0,1.303,2.131,2.538
ESRD_NORIGDIS_X_F75_79,0.0,0.0,0.0,0.0,0.0,1.303,2.131,2.538
ESRD_NORIGDIS_X_F80_84,0.0,0.0,0.0,0.0,0.0,1.303,2.131,2.538
ESRD_NORIGDIS_X_F85_89,0.0,0.0,0.0,0.0,0.0,1.303,2.131,2.538
ESRD_NORIGDIS_X_F90_94,0.0,0.0,0.0,0.0,0.0,1.303,2.131,2.538
ESRD_NORIGDIS_X_F95_GT,0.0,0.0,0.0,0.0,0.0,1.303,2.131,2.538
NESRD_ORIGDIS_X_M65,0.0,0.0,0.0,0.0,0.0,1.011,1.448,2.365
NESRD_ORIGDIS_X_M66,0.0,0.0,0.0,0.0,0.0,0.961,0.927,2.365
NESRD_ORIGDIS_X_M67,0.0,0.0,0.0,0.0,0.0,0.526,0.927,1.67
NESRD_ORIGDIS_X_M68,0.0,0.0,0.0,0.0,0.0,0.526,0.927,1.67
NESRD_ORIGDIS_X_M69,0.0,0.0,0.0,0.0,0.0,0.526,0.679,1.668
NESRD_ORIGDIS_X_M70_74,0.0,0.0,0.0,0.0,0.0,0.619,0.65,1.668
NESRD_ORIGDIS_X_M75_79,0.0,0.0,0.0,0.0,0.0,0.619,0.65,1.668
NESRD_ORIGDIS_X_M80_84,0.0,0.0,0.0,0.0,0.0,0.619,0.589,1.046
NESRD_ORIGDIS_X_M85_89,0.0,0.0,0.0,0.0,0.0,0.708,0.589,1.046
NESRD_ORIGDIS_X_M90_94,0.0,0.0,0.0,0.0,0.0,0.708,0.334,0.74
NESRD_ORIGDIS_X_M95_GT,0.0,0.0,0.0,0.0,0.0,0.708,0.334,0.605
NESRD_ORIGDIS_X_F65,0.0,0.0,0.0,0.0,0.0,1.143,1.638,2.791
NESRD_ORIGDIS_X_F66,0.0,0.0,0.0,0.0,0.0,1.143,1.213,2.791
NESRD_ORIGDIS_X_F67,0.0,0.0,0.0,0.0,0.0,1.143,1.01,2.338
NESRD_ORIGDIS_X_F68,0.0,0.0,0.0,0.0,0.0,1.028,1.01,2.338
NESRD_ORIGDIS_X_F69,0.0,0.0,0.0,0.0,0.0,1.028,1.01,1.609
NESRD_ORIGDIS_X_F70_74,0.0,0.0,0.0,0.0,0.0,1.028,0.953,1.609
NESRD_ORIGDIS_X_F75_79,0.0,0.0,0.0,0.0,0.0,0.832,0.687,1.609
NESRD_ORIGDIS_X_F80_84,0.0,0.0,0.0,0.0,0.0,0.522,0.687,1.054
NESRD_ORIGDIS_X_F85_89,0.0,0.0,0.0,0.0,0.0,0.522,0.687,1.054
NESRD_ORIGDIS_X_F90_94,0.0,0.0,0.0,0.0,0.0,0.397,0.423,0.658
NESRD_ORIGDIS_X_F95_GT,0.0,0.0,0.0,0.0,0.0,0.397,0.423,0.658
ESRD_ORIGDIS_X_M65,0.0,0.0,0.0,0.0,0.0,1.547,2.215,2.349
ESRD_ORIGDIS_X_M66,0.0,0.0,0.0,0.0,0.0,1.547,2.215,2.349
ESRD_ORIGDIS_X_M67,0.0,0.0,0.0,0.0,0.0,1.547,2.215,2.349
ESRD_ORIGDIS_X_M68,0.0,0.0,0.0,0.0,0.0,1.547,2.215,2.349
ESRD_ORIGDIS_X_M69,0.0,0.0,0.0,0.0,0.0,1.547,2.215,2.349
ESRD_ORIGDIS_X_M70_74,0.0,0.0,0.0,0.0,0.0,1.547,2.215,2.349
ESRD_ORIGDIS_X_M75_79,0.0,0.0,0.0,0.0,0.0,1.547,2.215,2.349
ESRD_ORIGDIS_X_M80_84,0.0,0.0,0.0,0.0,0.0,1.547,2.215,2.349
ESRD_ORIGDIS_X_M85_89,0.0,0.0,0.0,0.0,0.0,1.547,2.215,2.349
ESRD_ORIGDIS_X_M90_94,0.0,0.0,0.0,0.0,0.0,1.547,2.215,2.349
