category,CE_NONLOW_AGED,CE_NONLOW_NONAGED,CE_LOW_AGED,CE_LOW_NONAGED,CE_LTI,NE_NONLOW_COMMUNITY,NE_LOW_COMMUNITY,NE_LTI
NESRD_ORIGDIS_X_M75_79,0.0,0.0,0.0,0.0,0.0,0.706,0.672,1.155
NESRD_ORIGDIS_X_M80_84,0.0,0.0,0.0,0.0,0.0,0.706,0.652,1.155
NESRD_ORIGDIS_X_M85_89,0.0,0.0,0.0,0.0,0.0,0.858,0.652,1.155
NESRD_ORIGDIS_X_M90_94,0.0,0.0,0.0,0.0,0.0,0.858,0.406,0.752
NESRD_ORIGDIS_X_M95_GT,0.0,0.0,0.0,0.0,0.0,0.858,0.406,0.399
NESRD_ORIGDIS_X_F65,0.0,0.0,0.0,0.0,0.0,1.03,2.12,2.651
NESRD_ORIGDIS_X_F66,0.0,0.0,0.0,0.0,0.0,0.991,1.25,2.651
NESRD_ORIGDIS_X_F67,0.0,0.0,0.0,0.0,0.0,0.842,1.092,1.929
NESRD_ORIGDIS_X_F68,0.0,0.0,0.0,0.0,0.0,0.879,1.073,1.929
NESRD_ORIGDIS_X_F69,0.0,0.0,0.0,0.0,0.0,0.921,1.073,1.451
NESRD_ORIGDIS_X_F70_74,0.0,0.0,0.0,0.0,0.0,1.005,1.073,1.451
NESRD_ORIGDIS_X_F75_79,0.0,0.0,0.0,0.0,0.0,0.845,0.902,1.451
NESRD_ORIGDIS_X_F80_84,0.0,0.0,0.0,0.0,0.0,0.65,0.686,0.925
NESRD_ORIGDIS_X_F85_89,0.0,0.0,0.0,0.0,0.0,0.42,0.686,0.925
NESRD_ORIGDIS_X_F90_94,0.0,0.0,0.0,0.0,0.0,0.249,0.415,0.491
NESRD_ORIGDIS_X_F95_GT,0.0,0.0,0.0,0.0,0.0,0.249,0.415,0.491
ESRD_ORIGDIS_X_M65,0.0,0.0,0.0,0.0,0.0,1.269,2.183,2.316
ESRD_ORIGDIS_X_M66,0.0,0.0,0.0,0.0,0.0,1.269,2.183,2.316
ESRD_ORIGDIS_X_M67,0.0,0.0,0.0,0.0,0.0,1.269,2.183,2.316
ESRD_ORIGDIS_X_M68,0.0,0.0,0.0,0.0,0.0,1.269,2.183,2.316
ESRD_ORIGDIS_X_M69,0.0,0.0,0.0,0.0,0.0,1.269,2.183,2.316
ESRD_ORIGDIS_X_M70_74,0.0,0.0,0.0,0.0,0.0,1.269,2.183,2.316
ESRD_ORIGDIS_X_M75_79,0.0,0.0,0.0,0.0,0.0,1.269,2.183,2.316
ESRD_ORIGDIS_X_M80_84,0.0,0.0,0.0,0.0,0.0,1.269,2.183,2.316
ESRD_ORIGDIS_X_M85_89,0.0,0.0,0.0,0.0,0.0,1.269,2.183,2.316
ESRD_ORIGDIS_X_M90_94,0.0,0.0,0.0,0.0,0.0,1.269,2.183,2.316
ESRD_ORIGDIS_X_M95_GT,0.0,0.0,0.0,0.0,0.0,1.269,2.183,2.316
ESRD_ORIGDIS_X_F65,0.0,0.0,0.0,0.0,0.0,1.019,2.387,2.481
ESRD_ORIGDIS_X_F66,0.0,0.0,0.0,0.0,0.0,1.019,2.387,2.481
ESRD_ORIGDIS_X_F67,0.0,0.0,0.0,0.0,0.0,1.019,2.387,2.481
ESRD_ORIGDIS_X_F68,0.0,0.0,0.0,0.0,0.0,1.019,2.387,2.481
ESRD_ORIGDIS_X_F69,0.0,0.0,0.0,0.0,0.0,1.019,2.387,2.481
ESRD_ORIGDIS_X_F70_74,0.0,0.0,0.0,0.0,0.0,1.019,2.387,2.481
ESRD_ORIGDIS_X_F75_79,0.0,0.0,0.0,0.0,0.0,1.019,2.387,2.481
ESRD_ORIGDIS_X_F80_84,0.0,0.0,0.0,0.0,0.0,1.019,2.387,2.481
ESRD_ORIGDIS_X_F85_89,0.0,0.0,0.0,0.0,0.0,1.019,2.387,2.481
ESRD_ORIGDIS_X_F90_94,0.0,0.0,0.0,0.0,0.0,1.019,2.387,2.481
ESRD_ORIGDIS_X_F95_GT,0.0,0.0,0.0,0.0,0.0,1.019,2.387,2.481
